"id","neighbourhood_group","neighbourhood","lat","long","instant_bookable","room_type","construction_year","price","service_fee","min_nights","host_listings_count","availability"
19217,"Brooklyn","Williamsburg",40.70912,-73.94513,FALSE,"Entire home/apt",2018,168,34,2,1,5
14078,"Manhattan","Murray Hill",40.7462,-73.97707,FALSE,"Entire home/apt",2009,711,142,3,1,128
24438,"Manhattan","Upper East Side",40.77229,-73.94941,TRUE,"Private room",2009,98,20,4,1,0
6825,"Manhattan","East Harlem",40.80732,-73.93972,TRUE,"Entire home/apt",2004,896,179,7,1,320
38686,"Manhattan","Hell's Kitchen",40.76258,-73.98768,FALSE,"Entire home/apt",2011,592,118,30,232,330
84664,"Brooklyn","Clinton Hill",40.6954,-73.96705,FALSE,"Entire home/apt",2016,878,176,30,1,168
85487,"Brooklyn","Bedford-Stuyvesant",40.6872,-73.95773,FALSE,"Private room",2020,554,111,4,1,146
29762,"Brooklyn","East Flatbush",40.64016,-73.94119,TRUE,"Private room",2014,894,179,1,1,179
62774,"Manhattan","Midtown",40.74746,-73.98901,TRUE,"Private room",2018,829,166,1,53,68
3029,"Manhattan","Murray Hill",40.74881,-73.97234,FALSE,"Private room",2021,585,117,2,1,399
84745,"Brooklyn","Kensington",40.64225,-73.97197,TRUE,"Entire home/apt",2008,439,88,2,1,54
88812,"Brooklyn","Williamsburg",40.71204,-73.9656,TRUE,"Private room",2004,564,113,3,1,0
2189,"Brooklyn","Crown Heights",40.66974,-73.958,TRUE,"Entire home/apt",2005,288,58,3,1,384
79132,"Brooklyn","Bushwick",40.69872,-73.92718,TRUE,"Private room",2012,909,182,1,2,0
11020,"Manhattan","Upper East Side",40.7696,-73.95275,TRUE,"Private room",2010,541,108,3,3,307
4361,"Brooklyn","Crown Heights",40.67512,-73.96278,FALSE,"Private room",2020,742,148,2,1,56
82168,"Manhattan","Harlem",40.8077,-73.94345,FALSE,"Entire home/apt",2022,976,195,4,1,0
21865,"Manhattan","East Village",40.72208,-73.98473,TRUE,"Entire home/apt",2013,490,98,12,1,0
30958,"Brooklyn","Clinton Hill",40.68235,-73.96384,FALSE,"Entire home/apt",2007,546,109,2,1,0
45555,"Manhattan","Little Italy",40.7185,-73.99824,TRUE,"Entire home/apt",2014,1180,236,30,1,198
10151,"Queens","Long Island City",40.75255,-73.93654,FALSE,"Private room",2014,578,116,4,2,225
93579,"Manhattan","Harlem",40.82165,-73.95593,TRUE,"Private room",2020,865,173,5,1,38
33443,"Staten Island","Concord",40.60697,-74.08765,FALSE,"Private room",2016,905,181,4,7,337
52061,"Brooklyn","Bedford-Stuyvesant",40.68361,-73.91959,FALSE,"Entire home/apt",2019,867,173,4,2,125
48003,"Brooklyn","Crown Heights",40.66801,-73.94863,FALSE,"Private room",2016,329,66,2,1,29
51484,"Brooklyn","Fort Greene",40.69404,-73.974,TRUE,"Entire home/apt",2009,967,193,3,2,89
1365,"Manhattan","Upper West Side",40.7839,-73.97897,FALSE,"Entire home/apt",2004,756,151,4,1,1
44659,"Manhattan","Hell's Kitchen",40.76183,-73.99281,TRUE,"Private room",2010,754,151,3,1,94
90078,"Brooklyn","Bedford-Stuyvesant",40.69097,-73.93612,FALSE,"Entire home/apt",2011,1024,205,2,1,5
57945,"Brooklyn","Bushwick",40.68701,-73.91448,FALSE,"Private room",2022,462,92,2,1,359
62828,"Brooklyn","Coney Island",40.57389,-73.9882,FALSE,"Entire home/apt",2003,676,135,2,1,153
53541,"Brooklyn","Williamsburg",40.71799,-73.96084,FALSE,"Private room",2003,630,126,1,3,205
97668,"Manhattan","West Village",40.73485,-74.00313,FALSE,"Entire home/apt",2022,240,48,30,65,326
57643,"Queens","Elmhurst",40.73971,-73.87631,FALSE,"Entire home/apt",2020,1084,217,1,2,278
95721,"Manhattan","Washington Heights",40.84782,-73.93954,FALSE,"Private room",2021,109,22,1,1,80
73040,"Queens","Ditmars Steinway",40.77442,-73.91465,FALSE,"Private room",2012,704,141,2,1,0
77312,"Brooklyn","Bedford-Stuyvesant",40.69278,-73.95987,FALSE,"Private room",2022,799,160,30,4,79
64847,"Brooklyn","Crown Heights",40.67751,-73.94871,FALSE,"Entire home/apt",2022,636,127,2,1,55
10809,"Brooklyn","Williamsburg",40.70866,-73.94116,FALSE,"Private room",2004,72,14,7,1,126
79467,"Manhattan","Hell's Kitchen",40.76634,-73.98721,FALSE,"Private room",2011,543,109,30,4,160
87068,"Manhattan","Morningside Heights",40.80534,-73.96654,TRUE,"Private room",2021,475,95,1,1,0
93162,"Brooklyn","Williamsburg",40.70742,-73.93754,TRUE,"Private room",2021,822,164,5,2,48
72373,"Brooklyn","Bushwick",40.69542,-73.93258,TRUE,"Private room",2018,436,87,2,3,4
47484,"Manhattan","Inwood",40.85988,-73.92703,TRUE,"Private room",2019,141,28,2,1,11
62454,"Manhattan","Theater District",40.75941,-73.98667,TRUE,"Private room",2006,744,149,1,66,363
22588,"Manhattan","SoHo",40.7239,-73.99678,FALSE,"Entire home/apt",2022,447,89,30,1,365
57415,"Brooklyn","Bedford-Stuyvesant",40.69866,-73.94548,TRUE,"Entire home/apt",2005,425,85,2,1,301
14852,"Queens","Elmhurst",40.74517,-73.87496,TRUE,"Private room",2004,692,138,1,8,116
4832,"Brooklyn","Bedford-Stuyvesant",40.68571,-73.95792,FALSE,"Entire home/apt",2013,1115,223,3,2,125
33696,"Manhattan","Upper East Side",40.77668,-73.94587,FALSE,"Entire home/apt",2017,69,14,30,1,4
49874,"Brooklyn","Bushwick",40.69534,-73.9123,FALSE,"Entire home/apt",2013,173,35,1,2,294
97577,"Brooklyn","Crown Heights",40.66933,-73.94173,FALSE,"Private room",2012,950,190,1,1,0
39773,"Manhattan","Murray Hill",40.74845,-73.97446,FALSE,"Entire home/apt",2014,751,150,2,327,137
55936,"Brooklyn","Clinton Hill",40.68437,-73.96584,TRUE,"Entire home/apt",2005,691,138,4,1,15
3071,"Manhattan","Harlem",40.8145,-73.94962,TRUE,"Private room",2012,807,161,1,1,425
54272,"Brooklyn","Bedford-Stuyvesant",40.68266,-73.94009,TRUE,"Private room",2017,388,78,30,2,63
47022,"Queens","Flushing",40.76135,-73.80724,FALSE,"Private room",2022,666,133,1,6,7
24531,"Queens","Long Island City",40.74515,-73.95583,FALSE,"Private room",2016,427,85,3,1,0
29601,"Brooklyn","Bedford-Stuyvesant",40.68094,-73.9462,FALSE,"Entire home/apt",2022,154,31,30,6,220
33414,"Brooklyn","Williamsburg",40.70522,-73.93075,FALSE,"Private room",2012,390,78,1,7,310
72474,"Brooklyn","Crown Heights",40.6683,-73.94977,TRUE,"Entire home/apt",2019,775,155,1,3,0
27668,"Manhattan","Hell's Kitchen",40.76123,-73.99022,FALSE,"Entire home/apt",2013,893,179,1,1,252
48745,"Brooklyn","Bedford-Stuyvesant",40.69012,-73.93631,TRUE,"Private room",2022,926,185,1,1,29
80269,"Manhattan","SoHo",40.72667,-74.00179,FALSE,"Entire home/apt",2018,311,62,2,1,0
31381,"Brooklyn","Midwood",40.61167,-73.95803,FALSE,"Private room",2004,296,59,1,1,84
56968,"Queens","Flushing",40.75048,-73.8275,FALSE,"Private room",2005,281,56,30,12,365
74938,"Brooklyn","Bedford-Stuyvesant",40.68543,-73.95415,TRUE,"Entire home/apt",2011,1160,232,1,5,55
522,"Manhattan","Chelsea",40.74695,-74.00454,FALSE,"Private room",2011,440,88,4,1,398
91854,"Brooklyn","Bushwick",40.69705,-73.92585,FALSE,"Private room",2017,1174,235,1,1,1
44704,"Brooklyn","Williamsburg",40.70809,-73.9661,FALSE,"Entire home/apt",2013,62,12,2,1,0
45502,"Manhattan","East Village",40.726,-73.97861,TRUE,"Private room",2005,435,87,5,1,47
23534,"Manhattan","East Village",40.72669,-73.98864,TRUE,"Entire home/apt",2022,704,141,2,1,0
54363,"Brooklyn","Williamsburg",40.71271,-73.96198,FALSE,"Entire home/apt",2005,726,145,2,1,209
62558,"Manhattan","East Village",40.73113,-73.98442,TRUE,"Entire home/apt",2014,1057,211,30,3,44
42491,"Brooklyn","Brighton Beach",40.57974,-73.95892,FALSE,"Private room",2021,87,17,1,1,0
79948,"Manhattan","Harlem",40.82389,-73.95266,FALSE,"Private room",2010,622,124,2,2,0
93589,"Manhattan","Two Bridges",40.71262,-73.99592,FALSE,"Private room",2020,1189,238,3,2,86
19097,"Manhattan","East Harlem",40.79528,-73.94418,TRUE,"Entire home/apt",2006,513,103,2,1,0
67185,"Brooklyn","Flatlands",40.62531,-73.92859,TRUE,"Private room",2008,879,176,30,1,0
72247,"Queens","Astoria",40.75535,-73.92609,FALSE,"Entire home/apt",2006,1137,227,2,1,0
51082,"Manhattan","Upper East Side",40.77054,-73.9486,FALSE,"Entire home/apt",2013,233,47,30,1,191
79052,"Brooklyn","Brighton Beach",40.582,-73.96185,TRUE,"Entire home/apt",2007,1001,200,1,4,85
81191,"Queens","Woodside",40.74509,-73.89649,FALSE,"Private room",2014,91,18,2,1,0
10184,"Manhattan","East Village",40.72935,-73.98465,TRUE,"Entire home/apt",2018,101,20,2,2,172
68410,"Manhattan","Chelsea",40.74419,-73.99913,FALSE,"Entire home/apt",2018,761,152,1,1,33
2430,"Manhattan","East Village",40.72434,-73.97715,FALSE,"Entire home/apt",2014,742,148,29,1,85
50798,"Manhattan","West Village",40.73577,-74.00218,TRUE,"Private room",2018,747,149,1,1,143
49550,"Brooklyn","Bushwick",40.69308,-73.91025,FALSE,"Private room",2019,640,128,1,1,83
36832,"Brooklyn","Bushwick",40.70254,-73.92471,FALSE,"Private room",2012,736,147,1,1,64
56147,"Manhattan","Midtown",40.74829,-73.98757,FALSE,"Entire home/apt",2007,701,140,1,5,147
70527,"Manhattan","Midtown",40.74658,-73.98847,TRUE,"Entire home/apt",2016,738,148,2,1,120
66298,"Manhattan","Murray Hill",40.74838,-73.97574,FALSE,"Entire home/apt",2008,957,191,30,83,364
18101,"Brooklyn","Park Slope",40.68083,-73.97823,TRUE,"Entire home/apt",2022,388,78,7,1,0
